index;name;d_obs;slope;aspect;lat;lon
0;TN35;0.05;11.11775693666137;250.25282761397898;46.01218000000764;7.45717999999881
3;TN38;0.04;19.814919059970958;108.65012129269184;46.01210000000767;7.4572999999988125
4;TN39;0.03;23.4737606048584;97.91705267461009;46.01208000000768;7.45746999999881
5;TN42;0.15;7.133916367178525;145.45310163983444;46.01331000000768;7.457769999998812
6;TN43;0.08;18.925740287648683;285.3491733966224;46.01332000000767;7.457639999998809
7;TN44;0.04;19.807208811435583;278.0756159055056;46.01339000000766;7.457509999998811
8;TN45;0.07;21.306517559805034;82.4349406370859;46.01326000000768;7.457849999998811
9;TN46;0.05;23.7561289110804;231.98288754676895;46.01316000000769;7.458159999998813
10;TN47;0.11;29.66269956316267;136.57394798027104;46.01310000000766;7.458409999998813
16;TN68;0.02;24.76051031636913;87.76939365414535;46.011830000007684;7.457339999998811
17;TN69;0.01;22.837194003890048;98.64121245331259;46.011810000007664;7.45737999999881
18;TN71;0.03;22.410820343301385;81.42464622538188;46.011810000007664;7.457439999998811
19;TN72;0.05;28.844891426993197;93.57602928459463;46.01179000000766;7.457509999998813
20;TN73;0.005;18.104282693628885;97.05925343934595;46.01177000000766;7.457569999998811
21;TN74;0.015;17.29028843769437;300.9674734910412;46.01170000000766;7.457889999998813
22;TN75;0.03;21.10965886076943;296.9029669206712;46.01168000000766;7.457919999998811
23;TN76;0.015;23.0291882261938;290.50984283808856;46.01167000000765;7.457969999998814
24;TN77;0.04;24.333779665290333;293.663562517221;46.01165000000765;7.458009999998814
25;TN78;0.02;25.6842218774264;293.52444074660986;46.01163000000764;7.4580499999988135
26;TN79;0.03;25.71347997246719;298.23592524759994;46.01162000000765;7.458079999998814
27;TN80;0.02;26.050829575986278;298.8836139049555;46.01161000000764;7.4581199999988135
28;TN81;0.02;24.2600766277119;302.63478845042647;46.011590000007665;7.458169999998814
29;TN82;0.02;23.173089704455517;311.83990818800163;46.011580000007676;7.458229999998815
30;TN83;0.02;21.3685958757313;305.7147143384812;46.01154000000765;7.458269999998811
31;TN84;0.02;17.709404192896333;331.87482796964446;46.01150000000766;7.4583499999988145
